Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
20,20,1,1425
119,111,12,1437
829,772,62,1499
4404,4011,436,1935
9411,7213,2206,4141
5400,689,4700,8841
2680,0,2720,11561
1355,0,1325,12886
672,0,683,13569
344,0,328,13897
187,0,157,14054
98,0,89,14143
46,0,52,14195
25,0,21,14216
12,0,13,14229
6,0,6,14235
4,0,2,14237
3,0,1,14238
2,0,1,14239
2,0,0,14239
2,0,0,14239
0,0,2,14241
