Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
123,123,1,1424
187,123,59,1424
301,198,84,1424
487,334,148,1424
777,539,249,1424
1223,837,391,1424
1735,1145,633,1424
2507,1658,886,1424
3298,2055,1264,1424
4135,2414,1577,1424
4566,2533,2102,1424
4860,2604,2310,1424
5169,2718,2409,1424
5255,2685,2599,1424
5368,2741,2628,1424
5317,2723,2774,1424
5475,2706,2548,1424
5386,2651,2740,1424
5492,2822,2716,1424
5452,2692,2732,1424
5464,2737,2725,1424
5463,2755,2756,1424
5482,2754,2735,1424
5577,2780,2685,1424
5588,2782,2771,1424
5566,2767,2789,1424
5524,2716,2758,1424
5492,2755,2787,1424
5541,2750,2701,1424
5479,2724,2786,1424
5495,2767,2751,1424
5543,2811,2763,1424
5496,2747,2794,1424
5472,2721,2745,1424
5411,2726,2787,1424
5476,2774,2709,1424
5520,2784,2740,1424
5483,2707,2744,1424
5484,2739,2738,1424
5412,2676,2748,1424
5386,2761,2787,1424
5478,2827,2735,1424
5501,2763,2740,1424
5525,2724,2700,1424
5583,2819,2761,1424
5545,2740,2778,1424
5561,2772,2756,1424
5516,2751,2796,1424
5540,2730,2706,1424
5567,2798,2771,1424
5371,2651,2847,1424
5478,2763,2656,1424
5449,2758,2787,1424
5469,2728,2708,1424
5430,2702,2741,1424
5550,2811,2691,1424
5646,2783,2687,1424
5437,2665,2874,1424
5541,2785,2681,1424
5535,2788,2794,1424
5502,2736,2769,1424
5525,2789,2766,1424
5551,2791,2765,1424
5452,2708,2807,1424
5566,2788,2674,1424
5493,2730,2803,1424
5388,2698,2803,1424
5422,2747,2713,1424
5469,2743,2696,1424
5477,2777,2769,1424
5555,2809,2731,1424
5550,2796,2801,1424
5582,2813,2781,1424
5636,2820,2766,1424
5517,2709,2828,1424
5588,2751,2680,1424
5501,2742,2829,1424
5612,2812,2701,1424
5585,2773,2800,1424
5645,2802,2742,1424
5571,2715,2789,1424
5520,2733,2784,1424
5505,2749,2764,1424
5545,2737,2697,1424
5545,2734,2734,1424
5491,2725,2779,1424
5579,2840,2752,1424
5555,2742,2766,1424
5658,2851,2748,1424
5606,2742,2794,1424
5440,2707,2873,1424
5500,2749,2689,1424
5518,2804,2786,1424
5573,2844,2789,1424
5538,2784,2819,1424
5625,2785,2698,1424
5504,2686,2807,1424
5442,2735,2797,1424
5529,2760,2673,1424
5584,2807,2752,1424
5575,2762,2771,1424
5507,2736,2804,1424
5459,2748,2796,1424
5502,2794,2751,1424
5507,2805,2800,1424
5457,2713,2763,1424
5456,2747,2748,1424
5538,2809,2727,1424
5518,2828,2848,1424
5491,2780,2807,1424
5504,2748,2735,1424
5487,2732,2749,1424
5550,2765,2702,1424
5428,2690,2812,1424
5425,2746,2749,1424
5481,2772,2716,1424
5498,2765,2748,1424
5553,2786,2731,1424
5521,2724,2756,1424
5488,2755,2788,1424
5574,2816,2730,1424
5533,2739,2780,1424
5558,2811,2786,1424
5563,2764,2759,1424
5570,2741,2734,1424
5499,2737,2808,1424
5418,2758,2839,1424
5391,2729,2756,1424
5426,2737,2702,1424
5475,2806,2757,1424
5515,2741,2701,1424
5472,2769,2812,1424
5376,2720,2816,1424
5400,2807,2783,1424
5459,2746,2687,1424
5504,2788,2743,1424
5557,2767,2714,1424
5537,2723,2743,1424
5538,2735,2734,1424
5527,2689,2700,1424
5504,2779,2802,1424
5405,2691,2790,1424
5425,2734,2714,1424
5423,2742,2744,1424
5443,2820,2800,1424
5551,2802,2694,1424
5453,2696,2794,1424
5463,2715,2705,1424
5571,2856,2748,1424
5544,2718,2745,1424
5548,2782,2778,1424
5499,2758,2807,1424
5529,2782,2752,1424
5536,2796,2789,1424
5503,2710,2743,1424
5548,2781,2736,1424
5596,2778,2730,1424
5530,2743,2809,1424
5471,2765,2824,1424
5527,2764,2708,1424
5586,2810,2751,1424
5442,2679,2823,1424
5498,2766,2710,1424
5495,2785,2788,1424
5536,2748,2707,1424
5557,2792,2771,1424
5619,2780,2718,1424
5478,2720,2861,1424
5525,2789,2742,1424
5559,2778,2744,1424
5454,2723,2828,1424
5479,2791,2766,1424
5485,2747,2741,1424
5434,2696,2747,1424
5407,2729,2756,1424
5478,2785,2714,1424
5533,2786,2731,1424
5601,2798,2730,1424
5539,2800,2862,1424
5493,2728,2774,1424
