Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,0
60,60,1,1
2817,2791,34,35
12797,11384,1404,1439
6387,0,6410,7849
3219,0,3168,11017
1653,0,1566,12583
804,0,849,13432
391,0,413,13845
187,0,204,14049
103,0,84,14133
51,0,52,14185
27,0,24,14209
11,0,16,14225
3,0,8,14233
2,0,1,14234
1,0,1,14235
0,0,1,14236
