Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
15,15,1,1424
93,83,5,1424
634,587,46,1424
3425,3102,311,1424
9795,8035,1665,1424
7921,3021,4895,1424
8854,4895,3962,1424
8406,3962,4410,1424
8657,4410,4159,1424
8440,4159,4376,1424
8601,4376,4215,1424
8514,4215,4302,1424
8647,4302,4169,1424
8466,4169,4350,1424
8573,4350,4243,1424
8536,4243,4280,1424
8622,4280,4194,1424
8409,4194,4407,1424
8722,4407,4094,1424
8503,4094,4313,1424
8571,4313,4245,1424
8566,4245,4250,1424
8562,4250,4254,1424
8618,4254,4198,1424
8475,4198,4341,1424
8566,4341,4250,1424
8604,4250,4212,1424
8577,4212,4239,1424
8498,4239,4318,1424
8556,4318,4260,1424
8605,4260,4211,1424
8455,4211,4361,1424
8629,4361,4187,1424
8526,4187,4290,1424
8583,4290,4233,1424
8472,4233,4344,1424
8622,4344,4194,1424
8507,4194,4309,1424
8584,4309,4232,1424
8505,4232,4311,1424
8484,4311,4332,1424
8600,4332,4216,1424
8589,4216,4227,1424
8513,4227,4303,1424
8533,4303,4283,1424
8450,4283,4366,1424
8562,4366,4254,1424
8579,4254,4237,1424
8525,4237,4291,1424
8565,4291,4251,1424
8490,4251,4326,1424
8521,4326,4295,1424
8498,4295,4318,1424
8486,4318,4330,1424
8582,4330,4234,1424
8542,4234,4274,1424
8580,4274,4236,1424
8536,4236,4280,1424
8613,4280,4203,1424
8410,4203,4406,1424
8510,4406,4306,1424
8592,4306,4224,1424
8532,4224,4284,1424
8593,4284,4223,1424
8416,4223,4400,1424
8574,4400,4242,1424
8474,4242,4342,1424
8637,4342,4179,1424
8527,4179,4289,1424
8536,4289,4280,1424
8582,4280,4234,1424
8550,4234,4266,1424
8529,4266,4287,1424
8505,4287,4311,1424
8518,4311,4298,1424
8575,4298,4241,1424
8559,4241,4257,1424
8591,4257,4225,1424
8544,4225,4272,1424
8536,4272,4280,1424
8513,4280,4303,1424
8566,4303,4250,1424
8563,4250,4253,1424
8652,4253,4164,1424
8512,4164,4304,1424
8576,4304,4240,1424
8471,4240,4345,1424
8596,4345,4220,1424
8531,4220,4285,1424
8477,4285,4339,1424
8579,4339,4237,1424
8482,4237,4334,1424
8626,4334,4190,1424
8484,4190,4332,1424
8567,4332,4249,1424
8532,4249,4284,1424
8479,4284,4337,1424
8589,4337,4227,1424
8546,4227,4270,1424
8604,4270,4212,1424
8496,4212,4320,1424
8590,4320,4226,1424
8593,4226,4223,1424
8533,4223,4283,1424
8527,4283,4289,1424
8481,4289,4335,1424
8657,4335,4159,1424
8491,4159,4325,1424
8616,4325,4200,1424
8510,4200,4306,1424
8545,4306,4271,1424
8589,4271,4227,1424
8517,4227,4299,1424
8571,4299,4245,1424
8457,4245,4359,1424
8583,4359,4233,1424
8413,4233,4403,1424
8643,4403,4173,1424
8541,4173,4275,1424
8547,4275,4269,1424
8448,4269,4368,1424
8585,4368,4231,1424
8555,4231,4261,1424
8514,4261,4302,1424
8597,4302,4219,1424
8496,4219,4320,1424
8526,4320,4290,1424
8577,4290,4239,1424
8439,4239,4377,1424
8692,4377,4124,1424
8424,4124,4392,1424
8586,4392,4230,1424
8493,4230,4323,1424
8565,4323,4251,1424
8583,4251,4233,1424
8510,4233,4306,1424
8563,4306,4253,1424
8616,4253,4200,1424
8497,4200,4319,1424
8509,4319,4307,1424
8565,4307,4251,1424
8524,4251,4292,1424
8621,4292,4195,1424
8472,4195,4344,1424
8544,4344,4272,1424
8515,4272,4301,1424
8546,4301,4270,1424
8539,4270,4277,1424
8520,4277,4296,1424
8533,4296,4283,1424
8555,4283,4261,1424
8512,4261,4304,1424
8559,4304,4257,1424
8567,4257,4249,1424
8500,4249,4316,1424
8515,4316,4301,1424
8592,4301,4224,1424
8590,4224,4226,1424
8554,4226,4262,1424
8502,4262,4314,1424
8564,4314,4252,1424
8511,4252,4305,1424
8518,4305,4298,1424
8546,4298,4270,1424
8481,4270,4335,1424
8477,4335,4339,1424
8511,4339,4305,1424
8575,4305,4241,1424
8537,4241,4279,1424
8513,4279,4303,1424
8570,4303,4246,1424
8530,4246,4286,1424
8540,4286,4276,1424
8597,4276,4219,1424
8533,4219,4283,1424
8572,4283,4244,1424
8531,4244,4285,1424
8671,4285,4145,1424
8487,4145,4329,1424
8533,4329,4283,1424
