Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
85,85,1,1425
143,98,40,1465
210,135,68,1533
302,182,90,1623
469,329,162,1785
728,505,246,2031
1104,717,341,2372
1482,879,501,2873
1667,914,729,3602
1782,933,818,4420
1817,886,851,5271
1675,769,911,6182
1435,599,839,7021
1103,396,728,7749
813,271,561,8310
563,170,420,8730
400,127,290,9020
307,86,179,9199
201,52,158,9357
117,27,111,9468
71,16,62,9530
43,11,39,9569
23,6,26,9595
17,5,11,9606
11,4,10,9616
6,1,6,9622
2,0,4,9626
0,0,2,9628
