Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1428
40,40,1,1429
1662,1646,24,1453
11915,11090,837,2290
5938,31,6008,8298
3027,0,2911,11209
1551,0,1476,12685
792,0,759,13444
391,0,401,13845
174,0,217,14062
87,0,87,14149
46,0,41,14190
19,0,27,14217
7,0,12,14229
3,0,4,14233
2,0,1,14234
1,0,1,14235
1,0,0,14235
0,0,1,14236
