Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
90,90,1,1425
147,93,36,1461
229,149,67,1528
373,253,109,1637
532,351,192,1829
775,510,267,2096
1082,677,370,2466
1411,837,508,2974
1658,938,691,3665
1836,1005,827,4492
1857,939,918,5410
1681,750,926,6336
1436,582,827,7163
1085,385,736,7899
845,295,535,8434
622,191,414,8848
438,127,311,9159
308,73,203,9362
214,61,155,9517
144,33,103,9620
100,28,72,9692
69,14,45,9737
35,5,39,9776
27,4,12,9788
12,3,18,9806
8,0,4,9810
3,0,5,9815
1,0,2,9817
0,0,1,9818
