Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1427
20,19,0,1427
91,81,10,1437
804,761,48,1485
3819,3399,384,1869
9333,7439,1925,3794
5743,1114,4704,8498
2863,0,2880,11378
1412,0,1451,12829
721,0,691,13520
374,0,347,13867
202,0,172,14039
92,0,110,14149
55,0,37,14186
24,0,31,14217
12,0,12,14229
6,0,6,14235
5,0,1,14236
2,0,3,14239
0,0,2,14241
