Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
40,39,0,1424
1617,1592,15,1439
11926,11131,822,2261
5997,49,5978,8239
3076,0,2921,11160
1526,0,1550,12710
748,0,778,13488
379,0,369,13857
191,0,188,14045
83,0,108,14153
43,0,40,14193
18,0,25,14218
5,0,13,14231
3,0,2,14233
1,0,2,14235
0,0,1,14236
