Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
94,93,0,1424
201,154,47,1471
326,219,94,1565
442,275,159,1724
618,402,226,1950
922,600,296,2246
1210,776,488,2734
1476,872,606,3340
1704,969,741,4081
1763,937,878,4959
1624,731,870,5829
1438,623,809,6638
1168,471,741,7379
918,322,572,7951
693,232,457,8408
509,170,354,8762
346,109,272,9034
241,77,182,9216
177,50,114,9330
123,29,83,9413
83,18,58,9471
45,11,49,9520
33,11,23,9543
28,10,15,9558
18,9,19,9577
9,5,14,9591
9,3,3,9594
6,3,6,9600
3,0,3,9603
1,0,2,9605
0,0,1,9606
