Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
158,157,0,1424
648,564,74,1497
2386,2063,325,1822
4848,3620,1158,2980
5972,3539,2415,5395
4951,1923,2944,8339
3251,750,2450,10789
1873,289,1667,12456
1047,107,933,13389
544,35,538,13927
287,15,272,14199
157,9,139,14338
84,1,74,14412
47,0,37,14449
20,0,27,14476
7,0,13,14489
1,0,6,14495
1,0,0,14495
1,0,0,14495
1,0,0,14495
1,0,0,14495
1,0,0,14495
0,0,1,14496
