Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
5,5,1,1425
26,24,3,1428
34,20,12,1440
43,26,17,1457
63,44,24,1481
97,67,33,1514
174,121,44,1558
268,185,91,1649
383,242,127,1776
571,364,176,1952
801,530,300,2252
1208,801,394,2646
1569,944,583,3229
1769,981,781,4010
1776,945,938,4948
1690,823,909,5857
1462,603,831,6688
1115,402,749,7437
849,273,539,7976
627,211,433,8409
440,123,310,8719
295,81,226,8945
203,49,141,9086
137,33,99,9185
99,23,61,9246
60,11,50,9296
31,9,38,9334
26,7,12,9346
16,3,13,9359
11,5,10,9369
8,1,4,9373
3,0,5,9378
2,0,1,9379
1,0,1,9380
1,0,0,9380
0,0,1,9381
