Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1427
23,23,1,1427
105,92,10,1427
933,876,48,1427
4148,3675,460,1427
9857,7857,2148,1427
7888,2956,4925,1427
8842,4925,3971,1427
8383,3971,4430,1427
8638,4430,4175,1427
8449,4175,4364,1427
8612,4364,4201,1427
8574,4201,4239,1427
8534,4239,4279,1427
8542,4279,4271,1427
8604,4271,4209,1427
8511,4209,4302,1427
8622,4302,4191,1427
8490,4191,4323,1427
8485,4323,4328,1427
8554,4328,4259,1427
8529,4259,4284,1427
8589,4284,4224,1427
8428,4224,4385,1427
8645,4385,4168,1427
8510,4168,4303,1427
8460,4303,4353,1427
8623,4353,4190,1427
8544,4190,4269,1427
8554,4269,4259,1427
8598,4259,4215,1427
8558,4215,4255,1427
8552,4255,4261,1427
8581,4261,4232,1427
8492,4232,4321,1427
8579,4321,4234,1427
8474,4234,4339,1427
8598,4339,4215,1427
8515,4215,4298,1427
8544,4298,4269,1427
8477,4269,4336,1427
8503,4336,4310,1427
8560,4310,4253,1427
8535,4253,4278,1427
8499,4278,4314,1427
8547,4314,4266,1427
8484,4266,4329,1427
8598,4329,4215,1427
8493,4215,4320,1427
8558,4320,4255,1427
8531,4255,4282,1427
8612,4282,4201,1427
8498,4201,4315,1427
8559,4315,4254,1427
8632,4254,4181,1427
8478,4181,4335,1427
8610,4335,4203,1427
8473,4203,4340,1427
8608,4340,4205,1427
8480,4205,4333,1427
8576,4333,4237,1427
8518,4237,4295,1427
8511,4295,4302,1427
8602,4302,4211,1427
8569,4211,4244,1427
8483,4244,4330,1427
8480,4329,4332,1427
8618,4333,4195,1427
8507,4195,4306,1427
8564,4306,4249,1427
8552,4249,4261,1427
8617,4261,4196,1427
8606,4196,4207,1427
8590,4207,4223,1427
8481,4223,4332,1427
8581,4332,4232,1427
8516,4232,4297,1427
8543,4297,4270,1427
8480,4270,4333,1427
8476,4333,4337,1427
8572,4337,4241,1427
8556,4241,4257,1427
8517,4257,4296,1427
8579,4296,4234,1427
8439,4234,4374,1427
8654,4374,4159,1427
8435,4159,4378,1427
8556,4378,4257,1427
8554,4257,4259,1427
8498,4259,4315,1427
8585,4315,4228,1427
8494,4228,4319,1427
8522,4319,4291,1427
8467,4291,4346,1427
8576,4346,4237,1427
8509,4237,4304,1427
8465,4304,4348,1427
8528,4348,4285,1427
8528,4285,4285,1427
8589,4285,4224,1427
8559,4224,4254,1427
8560,4254,4253,1427
8558,4253,4255,1427
8594,4255,4219,1427
8523,4219,4290,1427
8549,4290,4264,1427
8528,4263,4284,1427
8598,4285,4215,1427
8540,4215,4273,1427
8623,4273,4190,1427
8533,4190,4280,1427
8555,4280,4258,1427
8495,4258,4318,1427
8565,4318,4248,1427
8575,4248,4238,1427
8584,4238,4229,1427
8472,4229,4341,1427
8569,4341,4244,1427
8645,4244,4168,1427
8531,4168,4282,1427
8624,4282,4189,1427
8422,4189,4391,1427
8571,4391,4242,1427
8480,4242,4333,1427
8540,4333,4273,1427
8590,4273,4223,1427
8531,4223,4282,1427
8546,4282,4267,1427
8567,4267,4246,1427
8500,4246,4313,1427
8587,4313,4226,1427
8550,4226,4263,1427
8489,4263,4324,1427
8572,4324,4241,1427
8475,4241,4338,1427
8598,4338,4215,1427
8479,4215,4334,1427
8551,4334,4262,1427
8537,4262,4276,1427
8508,4276,4305,1427
8562,4305,4251,1427
8506,4251,4307,1427
8530,4307,4283,1427
8557,4283,4256,1427
8470,4256,4343,1427
8566,4343,4247,1427
8564,4247,4249,1427
8568,4249,4245,1427
8575,4245,4238,1427
8513,4238,4300,1427
8533,4300,4280,1427
8544,4280,4269,1427
8589,4269,4224,1427
8632,4224,4181,1427
8503,4181,4310,1427
8574,4310,4239,1427
8478,4239,4335,1427
8555,4335,4258,1427
8544,4258,4269,1427
8547,4269,4266,1427
8554,4266,4259,1427
8512,4259,4301,1427
8578,4301,4235,1427
8475,4235,4338,1427
8641,4338,4172,1427
8483,4172,4330,1427
8570,4330,4243,1427
8466,4243,4347,1427
8616,4347,4197,1427
8560,4197,4253,1427
8501,4253,4312,1427
8540,4312,4273,1427
8559,4273,4254,1427
8535,4254,4278,1427
8534,4278,4279,1427
8532,4279,4281,1427
8587,4281,4226,1427
8550,4226,4263,1427
8562,4263,4251,1427
8544,4251,4269,1427
8495,4269,4318,1427
