Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
28,28,1,1425
56,40,12,1437
90,58,24,1461
148,98,40,1501
240,165,73,1574
346,231,125,1699
518,349,177,1876
797,537,258,2134
1103,717,411,2545
1474,899,528,3073
1699,971,746,3819
1802,979,876,4695
1671,817,948,5643
1501,656,826,6469
1306,540,735,7204
1027,379,658,7862
753,260,534,8396
517,161,397,8793
348,97,266,9059
252,62,158,9217
186,45,111,9328
113,29,102,9430
73,24,64,9494
44,14,43,9537
35,11,20,9557
28,8,15,9572
16,7,19,9591
10,3,9,9600
5,1,6,9606
2,0,3,9609
1,0,1,9610
1,0,0,9610
1,0,0,9610
0,0,1,9611
