Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1429
49,48,0,1429
2031,2009,27,1429
11789,10765,1007,1429
6818,1017,5988,1429
9362,5988,3444,1429
8149,3444,4657,1429
8752,4657,4054,1429
8411,4054,4395,1429
8645,4395,4161,1429
8575,4161,4231,1429
8471,4231,4335,1429
8566,4335,4240,1429
8617,4240,4189,1429
8534,4189,4272,1429
8505,4272,4301,1429
8510,4301,4296,1429
8450,4296,4356,1429
8612,4356,4194,1429
8477,4194,4329,1429
8579,4329,4227,1429
8596,4227,4210,1429
8484,4210,4322,1429
8622,4322,4184,1429
8536,4184,4270,1429
8504,4270,4302,1429
8507,4302,4299,1429
8530,4299,4276,1429
8548,4276,4258,1429
8519,4258,4287,1429
8589,4287,4217,1429
8623,4217,4183,1429
8516,4183,4290,1429
8449,4290,4357,1429
8611,4357,4195,1429
8492,4195,4314,1429
8573,4314,4233,1429
8560,4233,4246,1429
8522,4246,4284,1429
8500,4284,4306,1429
8563,4306,4243,1429
8478,4243,4328,1429
8628,4328,4178,1429
8465,4178,4341,1429
8583,4341,4223,1429
8560,4223,4246,1429
8505,4246,4301,1429
8582,4301,4224,1429
8502,4224,4304,1429
8603,4304,4203,1429
8404,4203,4402,1429
8593,4402,4213,1429
8536,4213,4270,1429
8524,4270,4282,1429
8493,4282,4313,1429
8590,4313,4216,1429
8512,4216,4294,1429
8510,4294,4296,1429
8597,4296,4209,1429
8479,4209,4327,1429
8560,4327,4246,1429
8509,4246,4297,1429
8542,4297,4264,1429
8558,4264,4248,1429
8500,4248,4306,1429
8608,4306,4198,1429
8538,4198,4268,1429
8634,4268,4172,1429
8481,4172,4325,1429
8620,4325,4186,1429
8503,4186,4303,1429
8614,4303,4192,1429
8572,4192,4234,1429
8555,4234,4251,1429
8513,4251,4293,1429
8553,4293,4253,1429
8488,4253,4318,1429
8575,4318,4231,1429
8492,4231,4314,1429
8540,4314,4266,1429
8579,4266,4227,1429
8495,4227,4311,1429
8539,4311,4267,1429
8570,4267,4236,1429
8556,4236,4250,1429
8394,4250,4412,1429
8630,4412,4176,1429
8452,4176,4354,1429
8582,4354,4224,1429
8466,4224,4340,1429
8529,4340,4277,1429
8552,4277,4254,1429
8584,4254,4222,1429
8451,4222,4355,1429
8642,4355,4164,1429
8469,4164,4337,1429
8570,4337,4236,1429
8584,4236,4222,1429
8483,4222,4323,1429
8469,4323,4337,1429
8548,4337,4258,1429
8571,4258,4235,1429
8549,4235,4257,1429
8497,4257,4309,1429
8546,4309,4260,1429
8490,4260,4316,1429
8657,4316,4149,1429
8452,4149,4354,1429
8548,4354,4258,1429
8465,4258,4341,1429
8637,4341,4169,1429
8535,4169,4271,1429
8592,4271,4214,1429
8544,4214,4262,1429
8568,4262,4238,1429
8442,4238,4364,1429
8664,4364,4142,1429
8569,4142,4237,1429
8555,4237,4251,1429
8544,4251,4262,1429
8549,4262,4257,1429
8563,4257,4243,1429
8544,4243,4262,1429
8522,4262,4284,1429
8564,4284,4242,1429
8576,4242,4230,1429
8564,4230,4242,1429
8571,4242,4235,1429
8564,4235,4242,1429
8519,4242,4287,1429
8526,4287,4280,1429
8564,4280,4242,1429
8544,4242,4262,1429
8541,4262,4265,1429
8525,4265,4281,1429
8620,4281,4186,1429
8356,4186,4450,1429
8669,4450,4137,1429
8442,4137,4364,1429
8540,4364,4266,1429
8559,4266,4247,1429
8518,4247,4288,1429
8523,4288,4283,1429
8576,4283,4230,1429
8510,4230,4296,1429
8477,4296,4329,1429
8540,4329,4266,1429
8594,4266,4212,1429
8569,4212,4237,1429
8491,4237,4315,1429
8606,4315,4200,1429
8549,4200,4257,1429
8541,4257,4265,1429
8496,4265,4310,1429
8508,4310,4298,1429
8605,4298,4201,1429
8536,4201,4270,1429
8619,4270,4187,1429
8457,4187,4349,1429
8624,4349,4182,1429
8448,4182,4358,1429
8624,4358,4182,1429
8502,4182,4304,1429
8574,4304,4232,1429
8548,4232,4258,1429
8531,4258,4275,1429
8513,4275,4293,1429
8563,4293,4243,1429
8524,4243,4282,1429
8544,4282,4262,1429
8595,4262,4211,1429
8487,4211,4319,1429
8656,4319,4150,1429
8472,4150,4334,1429
8501,4334,4305,1429
8541,4305,4265,1429
8474,4265,4332,1429
8608,4332,4198,1429
8578,4198,4228,1429
8502,4228,4304,1429
8588,4304,4218,1429
