Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
38,37,0,1424
106,89,21,1445
191,135,50,1495
318,223,96,1591
503,359,174,1765
725,483,261,2026
978,626,373,2399
1245,760,493,2892
1491,879,633,3525
1576,864,779,4304
1593,800,783,5087
1482,683,794,5881
1293,561,750,6631
1060,400,633,7264
863,319,516,7780
649,217,431,8211
456,146,339,8550
330,97,223,8773
245,73,158,8931
178,50,117,9048
127,33,84,9132
83,15,59,9191
61,19,41,9232
43,12,30,9262
27,9,25,9287
15,0,12,9299
9,1,7,9306
6,2,5,9311
8,3,1,9312
6,3,5,9317
2,0,4,9321
1,0,1,9322
1,0,0,9322
1,0,0,9322
1,0,0,9322
1,1,1,9323
1,0,0,9323
1,1,1,9324
2,1,0,9324
1,1,2,9326
2,1,0,9326
1,0,1,9327
1,1,1,9328
2,1,0,9328
1,0,1,9329
0,0,1,9330
