Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
15,15,1,1424
51,44,8,1424
443,422,30,1424
2503,2291,231,1424
8818,7568,1253,1424
8348,3998,4468,1424
8623,4468,4193,1424
8495,4193,4321,1424
8552,4321,4264,1424
8518,4264,4298,1424
8629,4298,4187,1424
8488,4187,4328,1424
8591,4328,4225,1424
8453,4225,4363,1424
8615,4363,4201,1424
8474,4201,4342,1424
8510,4342,4306,1424
8628,4306,4188,1424
8474,4188,4342,1424
8586,4342,4230,1424
8506,4230,4310,1424
8625,4310,4191,1424
8485,4191,4331,1424
8654,4331,4162,1424
8547,4162,4269,1424
8475,4269,4341,1424
8496,4341,4320,1424
8495,4320,4321,1424
8619,4321,4197,1424
8522,4197,4294,1424
8568,4294,4248,1424
8464,4248,4352,1424
8552,4352,4264,1424
8635,4264,4181,1424
8487,4181,4329,1424
8625,4329,4191,1424
8454,4191,4362,1424
8553,4362,4263,1424
8440,4263,4376,1424
8584,4376,4232,1424
8476,4232,4340,1424
8533,4340,4283,1424
8569,4283,4247,1424
8502,4247,4314,1424
8453,4314,4363,1424
8597,4363,4219,1424
8445,4219,4371,1424
8673,4371,4143,1424
8435,4143,4381,1424
8622,4381,4194,1424
8496,4194,4320,1424
8531,4320,4285,1424
8594,4285,4222,1424
8478,4222,4338,1424
8435,4338,4381,1424
8636,4381,4180,1424
8523,4180,4293,1424
8537,4293,4279,1424
8512,4279,4304,1424
8507,4304,4309,1424
8599,4309,4217,1424
8442,4217,4374,1424
8666,4374,4150,1424
8562,4150,4254,1424
8592,4254,4224,1424
8541,4224,4275,1424
8486,4275,4330,1424
8595,4330,4221,1424
8537,4221,4279,1424
8543,4279,4273,1424
8584,4273,4232,1424
8518,4232,4298,1424
8560,4298,4256,1424
8602,4256,4214,1424
8566,4214,4250,1424
8583,4250,4233,1424
8466,4233,4350,1424
8479,4350,4337,1424
8609,4337,4207,1424
8536,4207,4280,1424
8490,4280,4326,1424
8547,4326,4269,1424
8520,4269,4296,1424
8589,4296,4227,1424
8581,4227,4235,1424
8508,4235,4308,1424
8502,4308,4314,1424
8549,4314,4267,1424
8541,4267,4275,1424
8582,4275,4234,1424
8601,4234,4215,1424
8531,4215,4285,1424
8469,4285,4347,1424
8555,4347,4261,1424
8524,4261,4292,1424
8576,4292,4240,1424
8521,4240,4295,1424
8552,4295,4264,1424
8656,4264,4160,1424
8491,4160,4325,1424
8608,4325,4208,1424
8478,4208,4338,1424
8577,4338,4239,1424
8469,4239,4347,1424
8489,4347,4327,1424
8537,4327,4279,1424
8491,4279,4325,1424
8563,4325,4253,1424
8529,4253,4287,1424
8431,4287,4385,1424
8579,4385,4237,1424
8670,4237,4146,1424
8484,4146,4332,1424
8557,4332,4259,1424
8552,4259,4264,1424
8555,4264,4261,1424
8505,4261,4311,1424
8557,4311,4259,1424
8454,4259,4362,1424
8623,4362,4193,1424
8472,4193,4344,1424
8623,4344,4193,1424
8544,4193,4272,1424
8560,4272,4256,1424
8486,4256,4330,1424
8653,4330,4163,1424
8492,4163,4324,1424
8573,4324,4243,1424
8525,4243,4291,1424
8626,4291,4190,1424
8519,4190,4297,1424
8565,4297,4251,1424
8519,4251,4297,1424
8552,4297,4264,1424
8520,4264,4296,1424
8555,4296,4261,1424
8575,4261,4241,1424
8538,4241,4278,1424
8554,4278,4262,1424
8530,4262,4286,1424
8618,4286,4198,1424
8521,4198,4295,1424
8576,4295,4240,1424
8501,4240,4315,1424
8549,4315,4267,1424
8619,4267,4197,1424
8465,4197,4351,1424
8648,4351,4168,1424
8478,4168,4338,1424
8580,4338,4236,1424
8538,4236,4278,1424
8546,4278,4270,1424
8571,4270,4245,1424
8585,4245,4231,1424
8597,4231,4219,1424
8451,4219,4365,1424
8624,4365,4192,1424
8489,4192,4327,1424
8549,4327,4267,1424
8554,4267,4262,1424
8556,4262,4260,1424
8453,4260,4363,1424
8629,4363,4187,1424
8480,4187,4336,1424
8526,4336,4290,1424
8599,4290,4217,1424
8469,4217,4347,1424
8547,4347,4269,1424
8573,4269,4243,1424
8525,4243,4291,1424
8617,4291,4199,1424
8500,4199,4316,1424
8517,4316,4299,1424
8572,4299,4244,1424
8533,4244,4283,1424
8532,4283,4284,1424
8634,4284,4182,1424
8503,4182,4313,1424
8541,4313,4275,1424
8560,4275,4256,1424
