Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
41,41,1,1425
74,51,18,1443
120,85,39,1482
181,131,70,1552
280,180,81,1633
411,287,156,1789
681,481,211,2000
1000,665,346,2346
1302,797,495,2841
1606,947,643,3484
1794,990,802,4286
1794,865,865,5151
1650,789,933,6084
1409,594,835,6919
1101,424,732,7651
855,300,546,8197
636,217,436,8633
446,121,311,8944
297,80,229,9173
206,44,135,9308
138,39,107,9415
97,28,69,9484
76,19,40,9524
49,15,42,9566
30,8,27,9593
23,4,11,9604
14,5,14,9618
7,1,8,9626
9,4,2,9628
4,1,6,9634
4,3,3,9637
2,0,2,9639
0,0,2,9641
