Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
91,90,0,1424
202,155,44,1468
324,220,98,1566
491,332,165,1731
669,430,252,1983
954,626,341,2324
1226,772,500,2824
1524,914,616,3440
1705,952,771,4211
1810,948,843,5054
1732,832,910,5964
1508,612,836,6800
1207,434,735,7535
945,325,587,8122
691,230,484,8606
521,150,320,8926
359,116,278,9204
246,64,177,9381
156,38,128,9509
103,22,75,9584
62,12,53,9637
45,9,26,9663
30,6,21,9684
22,8,16,9700
10,1,13,9713
6,0,4,9717
3,1,4,9721
3,0,0,9721
3,0,0,9721
2,0,1,9722
0,0,2,9724
