Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
14,14,1,1425
107,99,6,1431
586,531,52,1483
3281,2994,299,1782
8877,7282,1686,3468
6333,1896,4440,7908
3152,0,3181,11089
1610,0,1542,12631
799,0,811,13442
386,0,413,13855
172,0,214,14069
94,0,78,14147
49,0,45,14192
24,0,25,14217
10,0,14,14231
4,0,6,14237
2,0,2,14239
2,0,0,14239
2,0,0,14239
0,0,2,14241
