Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
40,39,0,1424
98,78,20,1444
168,123,53,1497
302,218,84,1581
617,472,157,1738
1058,748,307,2045
1673,1138,523,2568
2209,1344,808,3376
2499,1358,1068,4444
2383,1134,1250,5694
1930,775,1228,6922
1484,516,962,7884
1059,334,759,8643
696,183,546,9189
457,117,356,9545
327,81,211,9756
207,50,170,9926
122,23,108,10034
82,14,54,10088
60,10,32,10120
33,2,29,10149
23,2,12,10161
11,1,13,10174
4,0,7,10181
3,0,1,10182
0,0,3,10185
